,origin microtype,mode,trip count,total trip count,fraction,source
0,1,auto,42404154.44023713,83216991.63991156,0.5095612519102378,NHTS
1,1,bike,1618540.2556582787,83216991.63991156,0.019449636711957433,NHTS
2,1,bus,5672258.30567043,83216991.63991156,0.068162261022543,NHTS
3,1,rail,7298142.843508278,83216991.63991156,0.08770015233292845,NHTS
4,1,walk,26223895.79483745,83216991.63991156,0.31512669802233334,NHTS
5,2,auto,79775552.59621558,96263322.75107084,0.8287221998611942,NHTS
6,2,bike,1026125.0629826707,96263322.75107084,0.010659564137798849,NHTS
7,2,bus,3213606.5793309375,96263322.75107084,0.03338349942107301,NHTS
8,2,rail,1065441.8181112115,96263322.75107084,0.011067993371331653,NHTS
9,2,walk,11182596.69443045,96263322.75107084,0.1161667432086023,NHTS
10,3,auto,61648452.89462738,74728137.60607152,0.8249697486053574,NHTS
11,3,bike,523806.60196035804,74728137.60607152,0.0070094962719611485,NHTS
12,3,bus,2648929.3496604506,74728137.60607152,0.03544754940400428,NHTS
13,3,rail,1454306.3694573117,74728137.60607152,0.019461295517943594,NHTS
14,3,walk,8452642.390366022,74728137.60607152,0.11311191020073355,NHTS
15,4,auto,27333215.491748232,32035252.880729046,0.853223028814942,NHTS
16,4,bike,239398.83900807326,32035252.880729046,0.007472981090531199,NHTS
17,4,bus,1294763.1370164412,32035252.880729046,0.040416822737032676,NHTS
18,4,rail,217562.29078887994,32035252.880729046,0.006791339890429132,NHTS
19,4,walk,2950313.122167417,32035252.880729046,0.09209582746706492,NHTS
20,5,auto,37969388.20576688,43155470.35956204,0.8798279311849495,NHTS
21,5,bike,275511.2216271808,43155470.35956204,0.006384155226016098,NHTS
22,5,bus,1509967.6618552266,43155470.35956204,0.03498902107367856,NHTS
23,5,rail,190289.9575914032,43155470.35956204,0.00440940525050355,NHTS
24,5,walk,3210313.3127213526,43155470.35956204,0.07438948726485232,NHTS
25,6,auto,2801041.5525878076,3598746.0068294723,0.7783382176102921,NHTS
26,6,bike,45628.763821944645,3598746.0068294723,0.012679073136963061,NHTS
27,6,bus,70321.50369909857,3598746.0068294723,0.019540557618027744,NHTS
28,6,rail,127817.38758121117,3598746.0068294723,0.03551720164152942,NHTS
29,6,walk,553936.7991394104,3598746.0068294723,0.15392494999318768,NHTS
